Source,Target,Type,id,weight
Addam-Marbrand,Brynden-Tully,Undirected,0,3
Addam-Marbrand,Cersei-Lannister,Undirected,1,3
Addam-Marbrand,Gyles-Rosby,Undirected,2,3
Addam-Marbrand,Jaime-Lannister,Undirected,3,14
Addam-Marbrand,Jalabhar-Xho,Undirected,4,3
Addam-Marbrand,Joffrey-Baratheon,Undirected,5,3
Addam-Marbrand,Kevan-Lannister,Undirected,6,3
Addam-Marbrand,Lyle-Crakehall,Undirected,7,4
Addam-Marbrand,Oberyn-Martell,Undirected,8,3
Addam-Marbrand,Tyrion-Lannister,Undirected,9,7
Addam-Marbrand,Tywin-Lannister,Undirected,10,6
Addam-Marbrand,Varys,Undirected,11,4
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,12,4
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,13,5
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,14,3
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,15,6
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,16,13
Aegon-I-Targaryen,Eddard-Stark,Undirected,17,4
Aegon-I-Targaryen,Harren-Hoare,Undirected,18,4
Aegon-I-Targaryen,Nan,Undirected,19,3
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,20,4
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,21,4
Aegon-I-Targaryen,Torrhen-Stark,Undirected,22,3
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,23,3
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,24,3
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,Undirected,25,11
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,26,7
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,Undirected,27,3
Aegon-Targaryen-(son-of-Rhaegar),Haldon,Undirected,28,14
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,Undirected,29,9
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,Undirected,30,16
Aegon-Targaryen-(son-of-Rhaegar),Lemore,Undirected,31,10
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,32,12
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),Undirected,33,4
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,Undirected,34,11
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,Undirected,35,23
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,Undirected,36,3
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,Undirected,37,3
Aegon-Targaryen-(son-of-Rhaegar),Yandry,Undirected,38,6
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,Undirected,39,4
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,40,6
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,41,3
Aemon-Targaryen-(Maester-Aemon),Alleras,Undirected,42,4
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,43,7
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,44,4
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,45,9
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,46,33
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,47,3
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,48,3
Aemon-Targaryen-(Maester-Aemon),Dareon,Undirected,49,5
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,50,4
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,51,11
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,52,3
Aemon-Targaryen-(Maester-Aemon),Gilly,Undirected,53,20
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,54,5
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,55,3
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,56,5
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,57,25
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,58,110
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,59,3
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,60,5
